"Attributes","anova.p","ImpoScore","n.nonmiss"
"NoiseLevel",7.3e-15,116,1772
"RestaurantsDelivery",0.0032,107,1884
"BusinessAcceptsCreditCards",0.071,97,1247
"Caters",4.5e-05,91,1563
"Alcohol",0.56,83,1789
"HasTV",7.1e-05,77,1854
"RestaurantsPriceRange2",0.18,70,1889
"lot",0.035,60,1823
"BikeParking",0.013,57,1746
"RestaurantsReservations",0.00016,55,1880
"OutdoorSeating",3e-04,51,1868
"street",0.00032,50,1823
"divey",0.25,48,1621
"WiFi",0.017,45,1778
"RestaurantsTableService",4.7e-15,44,814
"casual",1.2e-07,42,1850
"GoodForKids",0.027,34,1888
"dinner",1.1e-17,33,1398
"WheelchairAccessible",1.4e-19,27,280
"brunch",2.6e-13,21,1398
"DriveThru",5.4e-12,21,53
"RestaurantsGoodForGroups",0.14,20,1886
"BusinessAcceptsBitcoin",1.1e-13,20,106
"touristy",0.0017,18,1850
"trendy",4.5e-05,14,1850
"validated",0.056,14,1823
"latenight",3.7e-12,14,1398
"RestaurantsTakeOut",0.094,13,1897
"DogsAllowed",5.9e-12,13,139
"garage",0.054,11,1823
"lunch",5.9e-12,11,1398
"breakfast",3.3e-12,10,1398
"hipster",5.1e-07,9,1846
"RestaurantsAttire",0.0013,9,1861
"upscale",0.058,7,1844
"romantic",0.0037,3,1850
"valet",0.054,3,1823
"dessert",1.4e-11,2,1398
"jukebox",0.022,0,21
"Corkage",0.85,0,28
"RestaurantsCounterService",NA,0,0
"DietaryRestrictions",NA,0,0
"kids",NA,0,0
"HairSpecializesIn",NA,0,0
"BYOBCorkage",0.92,0,64
"vegan",0.77,0,2
"monday",0.0072,0,17
"video",0.022,0,21
"GoodForMeal",NA,0,0
"tuesday",0.0032,0,17
"curly",NA,0,0
"BusinessParking",NA,0,0
"AgesAllowed",NA,0,0
"GoodForDancing",0.0032,0,26
"wednesday",0.0074,0,17
"vegetarian",0.95,0,2
"Ambience",NA,0,0
"Music",NA,0,0
"ByAppointmentOnly",0.97,0,11
"straightperms",NA,0,0
"Smoking",0.0075,0,21
"classy",0.0017,0,1850
"coloring",NA,0,0
"extensions",NA,0,0
"no_music",0.088,0,15
"AcceptsInsurance",NA,0,0
"background_music",0.071,0,21
"saturday",0.00098,0,17
"asian",NA,0,0
"thursday",0.0054,0,17
"friday",0.0066,0,17
"sunday",0.0054,0,17
"kosher",0.77,0,2
"halal",0.77,0,2
"gluten.free",0.95,0,2
"BestNights",NA,0,0
"soy.free",0.77,0,2
"Open24Hours",NA,0,0
"dj",0.023,0,23
"karaoke",0.057,0,21
"intimate",1.8e-06,0,1850
"africanamerican",NA,0,0
"HappyHour",0.029,0,27
"BYOB",0.77,0,1
"live",0.07,0,21
"perms",NA,0,0
"CoatCheck",0.0033,0,20
"dairy.free",0.77,0,2
