bussiness_id,stars,text,date,uid
31292,1.0,total bill horribl servic,2013-05-07 04:34:36,0
31292,1.0,8g,2013-05-07 04:34:36,0
31292,1.0,crook actual nerv charg us 69 3 pill,2013-05-07 04:34:36,0
31292,1.0,check onlin pill 19 cent,2013-05-07 04:34:36,0
31292,1.0,avoid hospit er cost,2013-05-07 04:34:36,0
35344,5.0,ador travi hard rock new kelli cardena salon,2017-01-14 21:30:33,1
35344,5.0,im alway fan great blowout no stranger chain offer servic howev travi taken flawless blowout whole new level,2017-01-14 21:30:33,1
35344,5.0,traviss greet perfectli green swoosh otherwis perfectli style black hair vegasworthi rockstar outfit,2017-01-14 21:30:33,1
35344,5.0,next come relax incred shampoo get full head messag could cure even worst migrain minut scent shampoo room,2017-01-14 21:30:33,1
35344,5.0,travi freakishli strong finger good way use perfect amount pressur,2017-01-14 21:30:33,1
35344,5.0,superb,2017-01-14 21:30:33,1
35344,5.0,start gloriou blowout not one not two three peopl involv best roundbrush action hair ever seen,2017-01-14 21:30:33,1
35344,5.0,team stylist clearli get along extrem well evid way talk help one anoth realli genuin not corpor requir,2017-01-14 21:30:33,1
35344,5.0,much fun,2017-01-14 21:30:33,1
35344,5.0,next travi start flat iron,2017-01-14 21:30:33,1
35344,5.0,way flip wrist get volum around without overdo make look like texa pagent girl admir,2017-01-14 21:30:33,1
35344,5.0,also worth note didnt fri hair someth ive happen less skill stylist,2017-01-14 21:30:33,1
35344,5.0,end blowout style hair perfectli bouncey look terrif,2017-01-14 21:30:33,1
35344,5.0,thing better,2017-01-14 21:30:33,1
35344,5.0,awesom blowout last day,2017-01-14 21:30:33,1
35344,5.0,travi see everi singl time im vega,2017-01-14 21:30:33,1
35344,5.0,make feel beauuuti,2017-01-14 21:30:33,1
152538,5.0,say offic realli togeth organ friendli,2016-11-09 20:09:03,2
152538,5.0,dr j phillipp great dentist friendli profession,2016-11-09 20:09:03,2
152538,5.0,dental assist help procedur amaz jewel bailey help feel comfort,2016-11-09 20:09:03,2
152538,5.0,dont dental insur insur offic purchas 80 someth year gave 25 dental work plu help get sign care credit knew noth visit,2016-11-09 20:09:03,2
